시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,중랑구,의료,남자,80-84세,5,0,0,0,*,0,*,*,0,0
서울,중랑구,의료,남자,85세이상,6,0,*,*,*,*,0,0,0,0
서울,중랑구,의료,여자,65세미만,*,0,0,*,0,0,0,0,0,0
서울,중랑구,의료,여자,65-69세,*,0,0,0,0,*,0,0,0,0
서울,중랑구,의료,여자,70-74세,*,0,0,0,*,0,0,0,*,0
서울,중랑구,의료,여자,75-79세,5,0,0,*,0,*,0,*,0,0
서울,중랑구,의료,여자,80-84세,*,0,0,*,0,0,0,0,0,0
서울,중랑구,의료,여자,85세이상,27,*,*,5,12,*,0,0,0,0
서울,중랑구,감경,남자,65세미만,54,*,*,11,20,*,*,*,*,0
서울,중랑구,감경,남자,65-69세,103,16,9,25,34,5,*,*,0,0
서울,중랑구,감경,남자,70-74세,132,8,11,47,47,11,*,0,*,0
서울,중랑구,감경,남자,75-79세,174,5,10,61,72,10,*,*,0,*
서울,중랑구,감경,남자,80-84세,198,7,19,58,86,17,*,0,0,*
서울,중랑구,감경,남자,85세이상,230,*,17,80,100,21,*,*,*,0
서울,중랑구,감경,여자,65세미만,51,8,6,13,13,*,0,*,0,0
서울,중랑구,감경,여자,65-69세,87,*,10,30,29,*,*,*,0,0
서울,중랑구,감경,여자,70-74세,159,12,9,35,68,11,8,*,0,*
서울,중랑구,감경,여자,75-79세,312,17,15,97,129,31,8,*,*,0
서울,중랑구,감경,여자,80-84세,652,24,61,181,294,51,8,5,6,*
서울,중랑구,감경,여자,85세이상,908,71,134,306,332,46,*,*,*,0
서울,성북구,일반,남자,65세미만,71,8,*,10,15,*,0,7,8,*
서울,성북구,일반,남자,65-69세,174,10,7,35,40,7,*,27,*,5
서울,성북구,일반,남자,70-74세,229,8,12,53,71,13,5,20,7,*
서울,성북구,일반,남자,75-79세,345,15,22,69,123,26,5,20,11,*
서울,성북구,일반,남자,80-84세,528,17,35,126,192,50,10,25,10,9
서울,성북구,일반,남자,85세이상,658,21,59,153,258,44,10,28,12,*
서울,성북구,일반,여자,65세미만,72,*,*,11,9,*,*,16,8,6
서울,성북구,일반,여자,65-69세,170,7,7,27,28,7,*,24,10,6
서울,성북구,일반,여자,70-74세,364,16,24,63,80,17,5,41,13,8
서울,성북구,일반,여자,75-79세,721,20,41,109,222,57,20,79,36,5
서울,성북구,일반,여자,80-84세,1182,49,81,235,423,107,25,78,28,6
서울,성북구,일반,여자,85세이상,1550,71,178,441,580,95,10,50,5,7
서울,성북구,기초,남자,65세미만,96,8,5,16,24,6,*,7,5,7
서울,성북구,기초,남자,65-69세,120,*,5,16,44,11,5,11,9,*
서울,성북구,기초,남자,70-74세,82,*,5,12,28,7,*,11,5,*
서울,성북구,기초,남자,75-79세,77,*,*,16,32,*,0,6,*,*
서울,성북구,기초,남자,80-84세,76,*,5,24,21,8,*,*,0,*
서울,성북구,기초,남자,85세이상,72,*,8,18,33,*,*,*,*,0
서울,성북구,기초,여자,65세미만,36,*,*,9,8,*,*,6,0,*
서울,성북구,기초,여자,65-69세,93,*,5,16,21,*,*,18,*,*
서울,성북구,기초,여자,70-74세,104,*,7,16,35,6,*,*,5,0
서울,성북구,기초,여자,75-79세,190,7,12,32,74,24,*,12,7,6
서울,성북구,기초,여자,80-84세,255,6,22,64,106,22,*,11,5,*
서울,성북구,기초,여자,85세이상,348,25,43,96,135,17,*,11,*,*
서울,성북구,의료,남자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,성북구,의료,남자,70-74세,*,0,*,0,0,0,0,0,0,0
서울,성북구,의료,남자,75-79세,*,0,0,*,*,0,0,0,0,0
서울,성북구,의료,남자,80-84세,*,0,0,0,0,0,0,0,0,0
서울,성북구,의료,남자,85세이상,*,*,0,0,*,0,*,0,0,0
서울,성북구,의료,여자,70-74세,0,0,0,0,0,0,0,0,0,0
서울,성북구,의료,여자,75-79세,*,0,*,0,*,0,0,0,0,0
서울,성북구,의료,여자,80-84세,*,0,0,0,*,0,*,0,0,0
서울,성북구,의료,여자,85세이상,23,*,*,7,6,*,0,0,0,0
서울,성북구,감경,남자,65세미만,37,6,*,15,7,*,0,*,*,0
서울,성북구,감경,남자,65-69세,77,6,*,16,36,10,*,0,0,0
