법정동_시군구코드,기준연월,시도명,시군구명,65세이상1인세대,65세이상남자1인세대,65세이상여자1인세대
51170,2026-06-30,강원특별자치도,동해시,8150,2783,5367
51190,2026-06-30,강원특별자치도,태백시,4911,1727,3184
51210,2026-06-30,강원특별자치도,속초시,7604,2718,4886
51230,2026-06-30,강원특별자치도,삼척시,7413,2606,4807
51720,2026-06-30,강원특별자치도,홍천군,8014,3520,4494
51730,2026-06-30,강원특별자치도,횡성군,5901,2634,3267
51750,2026-06-30,강원특별자치도,영월군,5502,2280,3222
51760,2026-06-30,강원특별자치도,평창군,5414,2365,3049
51770,2026-06-30,강원특별자치도,정선군,4985,2076,2909
51780,2026-06-30,강원특별자치도,철원군,4022,1383,2639
51790,2026-06-30,강원특별자치도,화천군,2460,1054,1406
51800,2026-06-30,강원특별자치도,양구군,1993,828,1165
51810,2026-06-30,강원특별자치도,인제군,3008,1363,1645
51820,2026-06-30,강원특별자치도,고성군,3771,1351,2420
51830,2026-06-30,강원특별자치도,양양군,3708,1480,2228
52111,2026-06-30,전북특별자치도,전주시 완산구,22070,6925,15145
52113,2026-06-30,전북특별자치도,전주시 덕진구,17629,5795,11834
52130,2026-06-30,전북특별자치도,군산시,21796,8007,13789
52140,2026-06-30,전북특별자치도,익산시,23906,8290,15616
52180,2026-06-30,전북특별자치도,정읍시,13435,4647,8788
52190,2026-06-30,전북특별자치도,남원시,9910,3273,6637
52210,2026-06-30,전북특별자치도,김제시,11803,4094,7709
52710,2026-06-30,전북특별자치도,완주군,9016,3660,5356
52720,2026-06-30,전북특별자치도,진안군,4020,1618,2402
52730,2026-06-30,전북특별자치도,무주군,3691,1324,2367
52740,2026-06-30,전북특별자치도,장수군,3301,1130,2171
52750,2026-06-30,전북특별자치도,임실군,4625,1827,2798
52770,2026-06-30,전북특별자치도,순창군,4119,1386,2733
52790,2026-06-30,전북특별자치도,고창군,8300,2756,5544
52800,2026-06-30,전북특별자치도,부안군,8057,2794,5263
