장기요양기관코드,기관유형코드,기관유형명,정원,현원
11132000262,A04,노인요양공동생활가정,9,8
11132000263,A04,노인요양공동생활가정,9,8
11132000269,A04,노인요양공동생활가정,9,7
11132000270,A04,노인요양공동생활가정,,9
11132000273,A04,노인요양공동생활가정,9,9
11132000274,A04,노인요양공동생활가정,9,9
11132000275,A04,노인요양공동생활가정,7,7
11132000278,A04,노인요양공동생활가정,9,9
11132000281,A03,노인요양시설(개정법),71,69
11132000282,A04,노인요양공동생활가정,9,8
11132000284,A04,노인요양공동생활가정,9,8
11132000286,A04,노인요양공동생활가정,9,9
11132000287,A03,노인요양시설(개정법),28,27
11132000288,A04,노인요양공동생활가정,,9
11132000289,A04,노인요양공동생활가정,9,9
11132000292,A03,노인요양시설(개정법),13,13
11132000295,A04,노인요양공동생활가정,9,9
11132000297,A04,노인요양공동생활가정,,9
11132000298,A04,노인요양공동생활가정,,9
11132000299,A04,노인요양공동생활가정,9,7
11132000304,A03,노인요양시설(개정법),23,20
11132000305,A04,노인요양공동생활가정,9,7
11132000311,A04,노인요양공동생활가정,,8
11132000313,A03,노인요양시설(개정법),41,40
11132000317,A04,노인요양공동생활가정,9,8
