year,province,sigungu,kosis_region_code,service_type,benefit_users,provider_count_used,service_days,benefit_cost_thousand_krw,nhis_payment_thousand_krw
2013,강원,화천군,15350AC400I114,노인요양시설,122.0,36.0,27712.0,1335992.0,1198757.0
2013,강원,화천군,15350AC400I114,노인요양시설(구법),24.0,5.0,2550.0,95499.0,87444.0
2013,강원,화천군,15350AC400I114,노인요양시설(단기보호전환),2.0,2.0,174.0,6612.0,5840.0
2013,강원,화천군,15350AC400I114,노인전문요양시설(구법),72.0,3.0,7731.0,355402.0,326134.0
2013,강원,화천군,15350AC400I114,단기보호,3.0,3.0,85.0,3319.0,3204.0
2013,강원,화천군,15350AC400I114,방문간호,40.0,2.0,526.0,21741.0,19955.0
2013,강원,화천군,15350AC400I114,방문목욕,8.0,5.0,346.0,14083.0,12657.0
2013,강원,화천군,15350AC400I114,방문요양,167.0,34.0,26129.0,959265.0,862817.0
2013,강원,화천군,15350AC400I114,복지용구,92.0,33.0,0.0,46939.0,42081.0
2013,강원,화천군,15350AC400I114,주야간보호,7.0,8.0,639.0,22641.0,19637.0
2013,강원,횡성군,15350AC400I109,계,630.0,187.0,141575.0,6117215.0,5439063.0
2013,강원,횡성군,15350AC400I109,노인요양공동생활가정,39.0,20.0,8056.0,352085.0,312311.0
2013,강원,횡성군,15350AC400I109,노인요양시설,366.0,49.0,90940.0,4254081.0,3791942.0
2013,강원,횡성군,15350AC400I109,노인요양시설(구법),30.0,3.0,2304.0,82041.0,72921.0
2013,강원,횡성군,15350AC400I109,노인요양시설(단기보호전환),10.0,4.0,1621.0,65593.0,54307.0
2013,강원,횡성군,15350AC400I109,노인전문요양시설(구법),3.0,3.0,283.0,13149.0,11061.0
2013,강원,횡성군,15350AC400I109,단기보호,2.0,2.0,230.0,8838.0,7512.0
2013,강원,횡성군,15350AC400I109,방문간호,9.0,2.0,169.0,6548.0,5872.0
2013,강원,횡성군,15350AC400I109,방문목욕,65.0,15.0,1609.0,67978.0,59695.0
2013,강원,횡성군,15350AC400I109,방문요양,202.0,55.0,28178.0,922790.0,815332.0
2013,강원,횡성군,15350AC400I109,복지용구,144.0,43.0,0.0,68220.0,61053.0
2013,강원,횡성군,15350AC400I109,주야간보호,63.0,13.0,8185.0,275893.0,247057.0
2013,경기,가평군,15350AC400H143,계,1050.0,306.0,244480.0,10252695.0,9517977.0
2013,경기,가평군,15350AC400H143,노인요양공동생활가정,48.0,30.0,10250.0,458988.0,401483.0
2013,경기,가평군,15350AC400H143,노인요양시설,498.0,90.0,105449.0,4974187.0,4698607.0
2013,경기,가평군,15350AC400H143,노인요양시설(구법),273.0,10.0,30281.0,1061678.0,1043836.0
2013,경기,가평군,15350AC400H143,노인요양시설(단기보호전환),6.0,6.0,588.0,23375.0,18882.0
2013,경기,가평군,15350AC400H143,노인전문요양시설(구법),100.0,10.0,10710.0,495351.0,457576.0
2013,경기,가평군,15350AC400H143,단기보호,6.0,6.0,385.0,14241.0,12148.0
2013,경기,가평군,15350AC400H143,방문간호,9.0,3.0,75.0,2798.0,2438.0
2013,경기,가평군,15350AC400H143,방문목욕,41.0,21.0,980.0,39160.0,35214.0
2013,경기,가평군,15350AC400H143,방문요양,429.0,89.0,73557.0,2594051.0,2320802.0
2013,경기,가평군,15350AC400H143,복지용구,286.0,74.0,0.0,164620.0,147260.0
2013,경기,가평군,15350AC400H143,주야간보호,75.0,15.0,12205.0,424245.0,379731.0
2013,경기,고양시덕양구,15350AC400H119,계,3069.0,1186.0,677775.0,27950728.0,24441182.0
2013,경기,고양시덕양구,15350AC400H119,노인요양공동생활가정,310.0,132.0,59231.0,2606186.0,2262404.0
2013,경기,고양시덕양구,15350AC400H119,노인요양시설,1131.0,282.0,263048.0,12433561.0,10809654.0
2013,경기,고양시덕양구,15350AC400H119,노인요양시설(구법),82.0,32.0,8012.0,273934.0,237451.0
2013,경기,고양시덕양구,15350AC400H119,노인요양시설(단기보호전환),164.0,45.0,16549.0,639487.0,538371.0
2013,경기,고양시덕양구,15350AC400H119,노인전문요양시설(구법),140.0,34.0,10402.0,481557.0,447973.0
2013,경기,고양시덕양구,15350AC400H119,단기보호,139.0,43.0,9250.0,347699.0,305528.0
2013,경기,고양시덕양구,15350AC400H119,방문간호,29.0,12.0,728.0,33286.0,29980.0
2013,경기,고양시덕양구,15350AC400H119,방문목욕,412.0,157.0,13167.0,538687.0,472267.0
2013,경기,고양시덕양구,15350AC400H119,방문요양,1567.0,472.0,277879.0,9197788.0,8105956.0
2013,경기,고양시덕양구,15350AC400H119,복지용구,1163.0,190.0,0.0,700075.0,619664.0
2013,경기,고양시덕양구,15350AC400H119,주야간보호,147.0,43.0,19509.0,698468.0,611933.0
2013,경기,고양시일산동구,15350AC400H145,계,1997.0,915.0,438329.0,18260463.0,15800716.0
2013,경기,고양시일산동구,15350AC400H145,노인요양공동생활가정,172.0,99.0,34545.0,1508856.0,1292408.0
2013,경기,고양시일산동구,15350AC400H145,노인요양시설,774.0,239.0,184538.0,8581906.0,7330088.0
2013,경기,고양시일산동구,15350AC400H145,노인요양시설(구법),84.0,24.0,8844.0,297689.0,265294.0
2013,경기,고양시일산동구,15350AC400H145,노인요양시설(단기보호전환),80.0,36.0,7513.0,286362.0,236858.0
2013,경기,고양시일산동구,15350AC400H145,노인전문요양시설(구법),28.0,21.0,2408.0,110547.0,90489.0
2013,경기,고양시일산동구,15350AC400H145,단기보호,67.0,31.0,3956.0,147610.0,127686.0
2013,경기,고양시일산동구,15350AC400H145,방문간호,20.0,6.0,591.0,25057.0,21490.0
2013,경기,고양시일산동구,15350AC400H145,방문목욕,212.0,107.0,6336.0,261545.0,231068.0
2013,경기,고양시일산동구,15350AC400H145,방문요양,997.0,347.0,176776.0,6169885.0,5440963.0
2013,경기,고양시일산동구,15350AC400H145,복지용구,746.0,147.0,0.0,454290.0,400905.0
2013,경기,고양시일산동구,15350AC400H145,주야간보호,111.0,40.0,12822.0,416717.0,363467.0
2013,경기,고양시일산서구,15350AC400H146,계,1876.0,894.0,397090.0,16324285.0,13956496.0
2013,경기,고양시일산서구,15350AC400H146,노인요양공동생활가정,164.0,92.0,29896.0,1307237.0,1091216.0
2013,경기,고양시일산서구,15350AC400H146,노인요양시설,584.0,215.0,134222.0,6317410.0,5246134.0
2013,경기,고양시일산서구,15350AC400H146,노인요양시설(구법),37.0,17.0,3697.0,130763.0,107947.0
2013,경기,고양시일산서구,15350AC400H146,노인요양시설(단기보호전환),71.0,34.0,6506.0,251407.0,203763.0
2013,경기,고양시일산서구,15350AC400H146,노인전문요양시설(구법),26.0,19.0,2131.0,99383.0,81103.0
2013,경기,고양시일산서구,15350AC400H146,단기보호,34.0,23.0,1812.0,67906.0,58508.0
2013,경기,고양시일산서구,15350AC400H146,방문간호,22.0,8.0,808.0,35282.0,30992.0
2013,경기,고양시일산서구,15350AC400H146,방문목욕,239.0,117.0,7477.0,308624.0,269942.0
2013,경기,고양시일산서구,15350AC400H146,방문요양,1077.0,341.0,192138.0,6679517.0,5875582.0
2013,경기,고양시일산서구,15350AC400H146,복지용구,816.0,160.0,0.0,519392.0,460509.0
2013,경기,고양시일산서구,15350AC400H146,주야간보호,138.0,50.0,18403.0,607365.0,530800.0
2013,경기,과천시,15350AC400H122,계,529.0,363.0,112926.0,4664929.0,3982790.0
2013,경기,과천시,15350AC400H122,노인요양공동생활가정,24.0,26.0,3696.0,167231.0,138564.0
2013,경기,과천시,15350AC400H122,노인요양시설,187.0,109.0,45875.0,2152380.0,1816157.0
