longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,cyclTm,longTermAdminSym,pgmNm,pgmType,runPlc,tgtNop
24822000113,H32,48,220,백세시대 청춘실버케어센터,00,NORMAL SERVICE.,1,24822000113,요리교실,7,프로그램실,20
24833000238,H32,48,330,양산도우누리치매전문센터,00,NORMAL SERVICE.,1,24833000238,인지기능(붓글씨쓰기),7,"프로그램실1, 생활실1",23
34817000220,I31,48,170,태성데이케어센터,00,NORMAL SERVICE.,1,34817000220,에어하키,5,치매전담실,25
34827000171,I31,48,270,오이주간보호센터,00,NORMAL SERVICE.,1,34827000171,걷기운동,2,생활실,12
14887000034,M31,48,870,연꽃노인요양원,00,NORMAL SERVICE.,1,14887000034,가족대상프로그램,3,2·3층 홀 & 프로그램실,72
14888000099,M31,48,880,거창시니어카운티,00,NORMAL SERVICE.,1,14888000099,신체기능P/G : 실버체조,3,"프로그램실, 생활실(그룹별 실시), 공동거실",68
14811000081,S41,48,121,그린힐 치매전문요양센터,00,NORMAL SERVICE.,3,14811000081,지역사회행사프로그램,3,창원수박축제.어버니날행사 .실버축제,9
14817000162,S41,48,170,효원실버그룹홈,00,NORMAL SERVICE.,1,14817000162,요리활동,9,효원실버그룹홈 프로그램실,9
14817000180,S41,48,170,효원실버그룹홈2호,00,NORMAL SERVICE.,1,14817000180,콩팥활동,1,,9
14817000233,S41,48,170,효원실버그룹홈3호,00,NORMAL SERVICE.,1,14817000233,인지활동,7,프로그램실,9
14833000226,S41,48,330,풀꽃사랑채,REQUEST_ERROR,HTTPError: HTTP Error 429: Too Many Requests,,,,,,
15011000001,A03,50,110,한경원광소규모요양시설,00,NORMAL SERVICE.,1,15011000001,한글 공부,1,2층 프로그램실,8
15011000005,A03,50,110,제주요양원,00,NORMAL SERVICE.,1,15011000005,고리던지기,2,프로그램실,30
15011000006,A03,50,110,주사랑요양원,00,NORMAL SERVICE.,,15011000006,영적 정서적 서비스,3,"1층 프로그램실,2층 프로그램실",29
15011000010,A03,50,110,성이시돌요양원,00,NORMAL SERVICE.,1,15011000010,봉성체,3,각동 휴게실 및 침방,35
15011000011,A03,50,110,소망요양원,00,NORMAL SERVICE.,30,15011000011,"생신축하, 예배지원 등",3,1층 강당 및 각 층 생활실,40
15011000012,A03,50,110,세화요양원,00,NORMAL SERVICE.,1,15011000012,가족/지역주민참여P/G(생신/설/어버이날/추석/공연),3,강당,50
15011000013,A03,50,110,보은의집,00,NORMAL SERVICE.,1,15011000013,색종이접기,1,프로그램실,15
15011000015,A03,50,110,제주태고원,00,NORMAL SERVICE.,1,15011000015,팩미인,3,각 연화실,50
15011000163,A04,50,110,서부요양원,00,NORMAL SERVICE.,1,15011000163,책읽어주기,1,어르신방 또는 프로그램실,2
15011000165,A04,50,110,서부노인요양원,00,NORMAL SERVICE.,1,15011000165,해적롤렛게임,1,프로그램실,7
15011000200,A04,50,110,아름마을 요양원,00,NORMAL SERVICE.,1,15011000200,삼각퍼즐,1,거실 활용,9
15011000202,A04,50,110,둥지노인요양공동생활가정,00,NORMAL SERVICE.,1,15011000202,"퍼즐맞추기,",1,원내,8
15011000256,A04,50,110,동문요양원,00,NORMAL SERVICE.,1,15011000256,여가활동,1,프로그램실,9
15011000264,A04,50,110,낭그늘요양원,00,NORMAL SERVICE.,1,15011000264,미술활동 및 사회적응훈련,1,,8
15011000320,A04,50,110,신촌실버복지센터,00,NORMAL SERVICE.,1,15011000320,"가위, 바위, 보 게임",1,생활실,3
15011000422,A04,50,110,어르신요양가정 효누리,00,NORMAL SERVICE.,1,15011000422,신체기능향상,2,생활실,9
25011000003,B01,50,110,동제주노인복지센터,00,NORMAL SERVICE.,,,,,,
25011000004,B01,50,110,은빛마을노인복지센터,00,NORMAL SERVICE.,1,25011000004,미술활동,1,프로그램실,22
25011000008,B01,50,110,제주원광재가노인복지센터,00,NORMAL SERVICE.,1,25011000008,족욕(손마사지),2,프로그램실,32
25011000026,B01,50,110,제주노인복지센터,00,NORMAL SERVICE.,2,25011000026,냅킨공예,1,아름마을 경로당,20
25011000082,B01,50,110,주사랑소규모요양원,00,NORMAL SERVICE.,1,25011000082,생신잔치,3,주간보호실,26
25011000087,B01,50,110,성안노인복지센터,00,NORMAL SERVICE.,,,,,,
25011000124,B01,50,110,전원요양원,00,NORMAL SERVICE.,14,25011000124,초록빛치유 원예치료,1,지하프로그램실,11
